jobTitle,jobSkills,employer,city,state,geoCode
C# Developer,AngularJS|Software engineering|HTML,IT Services and Networking Corp.,Austin,TX,"30.267153,-97.7430608"
Java Developer,Sybase|Database design|Linux administration|Multithreading|Unix,IT Services and Networking Corp.,San Francisco,CA,"37.7749295,-122.4194155"
ServiceNow Developer,CSS|HTTP|JavaScript|ServiceNow,Acme Inc,San Francisco,CA,"37.7749295,-122.4194155"
Archer Developer,Specification|Security|Project management|Agile|QA|Microsoft Windows|Data modeling|Hardware,Roll the Dice Inc.,Chicago,IL,"41.8781136,-87.6297982"
Java Developer,QA|Linux|Java|Scrum|XML,IT Services and Networking Corp.,San Jose,CA,"37.3382082,-121.8863286"
Web Developer,Agile|PHP|CMS|CGI,SocialMedia.com,New York,NY,"40.7127837,-74.0059413"
.Net Application Developer,XML|HTML|Responsive design|jQuery|HTML5|Content management systems|Framework|.NET|Programming|Ajax|CSS,Roll the Dice Inc.,Des Moines,IA,"41.6005448,-93.6091064"
Business Intelligence Developer,Data warehouse|MicroStrategy|Informatica administration|Business Objects|Modeling|ERwin|Microsoft SQL Server,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
.Net Application Developer,ASP|SQL|ASP.NET|Agile|C#|UML,Simon Hughes Llc,San Francisco,CA,"37.7749295,-122.4194155"
Frontend Developer,CSS|UI|JavaScript,Scientists and Quants Inc,Austin,TX,"30.267153,-97.7430608"
Java Developer,SQL|Software development|C++|Python|Shell|Database|Java|Perl,Simon Hughes Llc,San Jose,CA,"37.3382082,-121.8863286"
Database Developer,Physics|Visual Basic|Programming|ASP|Database|ASP.NET,SocialMedia.com,New York,NY,"40.7127837,-74.0059413"
C# Developer,DBA|Technical writing|Scheduling|AngularJS|Programming|Database|SQL,Acme Inc,Des Moines,IA,"41.6005448,-93.6091064"
Application Developer,Linux administration|Microsoft Windows|Research|Python|Security,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
Angular JS Developer,Revision control|Java|JavaScript|OOP,Python code ninjas,San Francisco,CA,"37.7749295,-122.4194155"
Database Developer,DBA|DBA|Disaster recovery|Database|Microsoft Windows|Modeling,Large Search Giant Llc.,Chicago,IL,"41.8781136,-87.6297982"
Java Developer,Project management|QA|SAP ABAP|SOAP|Agile|Telecommunications|PL/I|SQL|Lifecycle management,Python code ninjas,New York,NY,"40.7127837,-74.0059413"
Java Developer,jQuery|Apache Subversion|Software development|Java,Data Science Consultants,Chicago,IL,"41.8781136,-87.6297982"
Java Developer,Architecture|Database design|NoSQL|Java|JavaScript|Apache HTTP Server,Data Science Consultants,San Francisco,CA,"37.7749295,-122.4194155"
Dynamics CRM Developer,.NET|ASP.NET|Programming|QA|Customer service|ASP|Data modeling,Simon Hughes Llc,San Francisco,CA,"37.7749295,-122.4194155"
Web Developer,Git|Java|CSS|Web development,Python code ninjas,Austin,TX,"30.267153,-97.7430608"
Java UI Developer,SQL|Oracle|J2EE|Specification|Hardware|Consulting|JDBC|Project management,Python code ninjas,Austin,TX,"30.267153,-97.7430608"
Fullstack Developer,Programming|API|TDD|JavaScript|CSS,Big Tech Company,Austin,TX,"30.267153,-97.7430608"
Lead Developer,Networking|Java|Linux administration|C++|Informatica|Unix|Sales,Big Data Services,New York,NY,"40.7127837,-74.0059413"
PLSQL Developer,Unix|Shell|Perl,IT Services and Networking Corp.,San Jose,CA,"37.3382082,-121.8863286"
Lead Developer,Programming|Development management|SAS|Data analysis|Programming,Simon Hughes Llc,Chicago,IL,"41.8781136,-87.6297982"
Lead .Net Developer,QA|API|Programming|Analytical skill|Oracle|IBM Cognos|ASP|C#|HTTP|.NET|SQL,Data Science Consultants,New York,NY,"40.7127837,-74.0059413"
Mobile Developer,jQuery|Scheduling|ASP|Business intelligence|SQL,Scientists and Quants Inc,Des Moines,IA,"41.6005448,-93.6091064"
.Net Developer,.NET|Agile|Project management|Software engineering|SQL,Python code ninjas,New York,NY,"40.7127837,-74.0059413"
Big Data,Linux|Java|CGI|Scrum|PHP|Apache HTTP Server,Scientists and Quants Inc,Des Moines,IA,"41.6005448,-93.6091064"
Web Developer,Web development|Database design|Supervision|XML|jQuery|CMS|HTTP|HTML|CSS,SocialMedia.com,San Jose,CA,"37.3382082,-121.8863286"
Android Developer,Graphics|OpenGL|Git|QA|Java,Large Search Giant Llc.,Chicago,IL,"41.8781136,-87.6297982"
Lead .Net Developer,QA|Customer service|XSL|ASP.NET|Oracle|Database design|Visual Basic|Transact-SQL|XML|jQuery,Big Data Services,San Jose,CA,"37.3382082,-121.8863286"
Frontend Developer,HTML|Microsoft Windows|JavaScript|UX|UI|Java|Linux administration,IT Services and Networking Corp.,San Jose,CA,"37.3382082,-121.8863286"
PHP Developer,XML|HTML|PHP,Large Search Giant Llc.,San Francisco,CA,"37.7749295,-122.4194155"
Frontend Developer,jQuery|UI|Specification|Security|UX|QA|QA|.NET|Adobe|Architecture,Scientists and Quants Inc,New York,NY,"40.7127837,-74.0059413"
Frontend Developer,API|OpenGL|iOS|OOP,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
Java Developer,HTTP|Database design|CSS|Programming|Apache HTTP Server|JavaScript,Scientists and Quants Inc,Austin,TX,"30.267153,-97.7430608"
Big Data Developer,Algorithms|Research|Apache HTTP Server|Data analysis,Data Science Consultants,San Francisco,CA,"37.7749295,-122.4194155"
IBM BPM Developer,Computer-aided software engineering|JDBC|Database design|XSL|JavaScript|HTML|SQL,Big Data Services,New York,NY,"40.7127837,-74.0059413"
.Net Developer,Content management|Microsoft SQL Server|ASP|SQL|XML|jQuery|ADO,Big Tech Company,San Francisco,CA,"37.7749295,-122.4194155"
Guidewire Developer,RESTful|Hibernate|Java,Big Data Services,Des Moines,IA,"41.6005448,-93.6091064"
.Net Developer,C#|ASP.NET|.NET|C#|HTML|ASP.NET|C#|C#|ASP.NET MVC|C#|C#|HTML,Big Data Services,Des Moines,IA,"41.6005448,-93.6091064"
Web Developer,RPC|Security|QA|Web development|Git|System administration|MySQL|CSS|HTML|Web browsers|SVN,Roll the Dice Inc.,Chicago,IL,"41.8781136,-87.6297982"
C# Developer,Microsoft Project|QA|SQL|Scrum|Microsoft SQL Server|C#|.NET|Oracle|Security,Large Search Giant Llc.,San Francisco,CA,"37.7749295,-122.4194155"
ETL Developer,Data warehouse|Apache Hadoop|QA,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
SharePoint Developer,Project management|Consulting|Architecture|Program management|Project management|PL/I,Big Data Services,Des Moines,IA,"41.6005448,-93.6091064"
.Net Developer,Database design|Development management|Business requirements|Visual Basic|Scrum|Agile|SQL,SocialMedia.com,Chicago,IL,"41.8781136,-87.6297982"
.Net Developer,C#|.NET|Agile|OOP|Mobile development|ASP|Content management|JavaScript,Data Science Consultants,Des Moines,IA,"41.6005448,-93.6091064"
Ruby on Rails Developer,Research|SQL|Git|Ruby|PostgreSQL|Python,Big Data Services,Austin,TX,"30.267153,-97.7430608"
.Net Developer,JavaScript|XSL|CSS|Programming|Oracle|Content management|Web design|Ajax|Agile,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
Ruby Developer,JavaScript|Erlang|Engineering|AngularJS|JavaScript|CSS|jQuery|Backbone.js|GitHub|Ruby on Rails|Leadership|CSS|RSpec,SocialMedia.com,Chicago,IL,"41.8781136,-87.6297982"
Oracle Developer,SQL|Perl|QA|Data modeling|Data warehouse|Hardware|Microsoft Windows|Microsoft Excel|DBA|Disaster recovery,Big Tech Company,Austin,TX,"30.267153,-97.7430608"
Android Developer,CSS|Android|Java|Agile|Algorithms|PHP|QA|iOS,Large Search Giant Llc.,Chicago,IL,"41.8781136,-87.6297982"
Cloud Developer,Apache HTTP Server|C++|Embedded systems|Ruby|Research|Software engineering|JavaScript|Algorithms|Verification and validation|Apache Hadoop,Scientists and Quants Inc,New York,NY,"40.7127837,-74.0059413"
Web Developer,PHP|Agile|HTML|jQuery,Big Data Services,Austin,TX,"30.267153,-97.7430608"
JavaScript Developer,Consulting|Python|PHP|HTTP,Data Science Consultants,San Francisco,CA,"37.7749295,-122.4194155"
Information Technology,Business requirements|.NET|SQL|Assembly|API|QA,Scientists and Quants Inc,Des Moines,IA,"41.6005448,-93.6091064"
ETL Developer,PL/SQL|Programming|Unix|Ab Initio,Big Data Services,Chicago,IL,"41.8781136,-87.6297982"
Java Developer,API|Specification|Programming|Security,Simon Hughes Llc,San Francisco,CA,"37.7749295,-122.4194155"
Web Developer,Web development|Java|Consulting|JavaScript,Large Search Giant Llc.,San Francisco,CA,"37.7749295,-122.4194155"
Android Developer,JSP|Software engineering|Analytical skill|C++|CSS|iOS|PHP|JavaScript,Simon Hughes Llc,New York,NY,"40.7127837,-74.0059413"
Java Developer,Python|Engineering|Oracle|SQL|Perl|Apache Tomcat|Java|CSS,Simon Hughes Llc,San Jose,CA,"37.3382082,-121.8863286"
Frontend Developer,Agile|AngularJS|Programming,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
iOS Developer,Android|Microsoft Windows|Graphics|Mobile development,Big Data Services,Des Moines,IA,"41.6005448,-93.6091064"
Database Developer,Visual Basic|Microsoft SQL Server|ASP|SQL|QA|ASP.NET,Roll the Dice Inc.,San Jose,CA,"37.3382082,-121.8863286"
Web Developer,jQuery|Apache HTTP Server|JDBC|XML|Web development|Java|UML,Acme Inc,Des Moines,IA,"41.6005448,-93.6091064"
Fullstack Developer,Database design|Agile|AngularJS|TDD|API,Python code ninjas,Des Moines,IA,"41.6005448,-93.6091064"
Java Developer,Java|QA|IBM DB2|Architecture|Modeling|SQL|Project management|Oracle|XML|SDLC,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
Web Developer,CSS|HTML|Web development,Acme Inc,New York,NY,"40.7127837,-74.0059413"
Lead Developer,JavaScript|Ruby|Agile,Large Search Giant Llc.,Des Moines,IA,"41.6005448,-93.6091064"
Mobile Developer,JavaScript|XML|Git|Android|SVN|AngularJS|Java|Microsoft Windows,Acme Inc,San Jose,CA,"37.3382082,-121.8863286"
Fullstack Developer,SQL|MySQL|OOD|Retail|Linux administration|jQuery,Roll the Dice Inc.,Austin,TX,"30.267153,-97.7430608"
.Net Developer,AngularJS|C#|Microsoft SQL Server|Agile|JavaScript|OOP|ASP.NET MVC,Roll the Dice Inc.,New York,NY,"40.7127837,-74.0059413"
Java Developer,SQL|SVN|Scripting|Jenkins|HTTP|ANSI|Oracle,Acme Inc,New York,NY,"40.7127837,-74.0059413"
.Net Developer,Research|Specification|Scheduling|QA|SDLC,Python code ninjas,Austin,TX,"30.267153,-97.7430608"
Mobile Developer,Android|XML|RESTful|Mobile development,Big Data Services,San Francisco,CA,"37.7749295,-122.4194155"
.Net Developer,.NET|AngularJS|AngularJS|AngularJS|jQuery|.NET|.NET|.NET|C#,Simon Hughes Llc,Austin,TX,"30.267153,-97.7430608"
Integration Developer,Architecture|TIBCO|Content management|Database design|QA|API|Specification|HTML|SOAP,SocialMedia.com,New York,NY,"40.7127837,-74.0059413"
Perl Developer,MySQL|QA|Apache Subversion|Java|TCP/IP|HTTP|Security|Web server|Solaris|SSL|Oracle|Algorithms|PHP|Linux administration,Big Data Services,Des Moines,IA,"41.6005448,-93.6091064"
ASP.NET Developer,ASP|Revision control|Microsoft IIS|ASP.NET|SQL|.NET|Programming|Automotive|JavaScript|XML,Python code ninjas,San Jose,CA,"37.3382082,-121.8863286"
Application Developer,IBM DB2|IBM WebSphere|XML|.NET|HTML|UML|Database|Electronic commerce|SQL|IBM|CSS,Python code ninjas,New York,NY,"40.7127837,-74.0059413"
Web Developer,Microsoft Windows Azure|JavaScript|AngularJS|Microsoft Visual Studio|HTML|.NET|Teamwork|CSS,Large Search Giant Llc.,San Jose,CA,"37.3382082,-121.8863286"
Business Intelligence Analyst,Data marts|IBM Cognos|Linux administration|PHP|Business intelligence,SocialMedia.com,New York,NY,"40.7127837,-74.0059413"
Frontend Developer,Consulting|API|QA|JavaScript|jQuery,Big Tech Company,San Francisco,CA,"37.7749295,-122.4194155"
Lead Developer,QA|SQL|Agile|Python|Software engineering|Scrum,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
Application Developer,Hardware management|Recruitment|Microsoft Windows|ASP,IT Services and Networking Corp.,Chicago,IL,"41.8781136,-87.6297982"
Lead Developer,Architecture|Risk management|SDLC|PL/SQL|SQL,Data Science Consultants,San Jose,CA,"37.3382082,-121.8863286"
Web Developer,Java|Programming|SQL|IBM WebSphere|Supervision|IBM|Security|Application server|JavaScript,Data Science Consultants,New York,NY,"40.7127837,-74.0059413"
Java Developer,Spring MVC|Apache CXF|RESTful|XML|JDBC|RDMS,Big Tech Company,Austin,TX,"30.267153,-97.7430608"
Application Developer,Perl|Database design|Project management|Oracle|C#|OOP|CSS|MySQL|ASP,IT Services and Networking Corp.,Des Moines,IA,"41.6005448,-93.6091064"
Business Intelligence Analyst,Business intelligence|Programming|SQL|PHP|Oracle,Big Data Services,San Jose,CA,"37.3382082,-121.8863286"
Lead Developer,QA|Consulting|Apache Hadoop|Unix|QA|SQL|PL/I,Simon Hughes Llc,San Francisco,CA,"37.7749295,-122.4194155"
Android Developer,Android|Enterprise asset management|Maximo|Computer science|J2EE,IT Services and Networking Corp.,Austin,TX,"30.267153,-97.7430608"
C# Developer,Programming|Security|QA|Microsoft Windows,Acme Inc,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,HTTP|Java|Apache HTTP Server|JDBC|Linux administration|Database design|Jenkins|Security,SocialMedia.com,San Francisco,CA,"37.7749295,-122.4194155"
COBOL Developer,Programming|TSO|VSAM|XML,Scientists and Quants Inc,Des Moines,IA,"41.6005448,-93.6091064"
Business Objects Developer,SAP|Crystal Reports|Business Objects,IT Services and Networking Corp.,Des Moines,IA,"41.6005448,-93.6091064"
Java Developer,Apache Tomcat|VMS|C|C++,Python code ninjas,San Jose,CA,"37.3382082,-121.8863286"
Big Data Developer,Microsoft SQL Server|Unix|Data warehouse|Apache Hadoop|Big data,Large Search Giant Llc.,San Francisco,CA,"37.7749295,-122.4194155"
FileNet Developer,Unix|FileNet|Workflow|QA,Acme Inc,Des Moines,IA,"41.6005448,-93.6091064"
Java Developer,Microsoft SQL Server|TDD|SOAP|Informatica|J2EE|PL/SQL|Specification|Git|Apache HTTP Server,Acme Inc,Chicago,IL,"41.8781136,-87.6297982"
.Net Web Developer,Microsoft BizTalk Server|Hyland OnBase|Web development,Python code ninjas,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,CMS|Networking|Linux administration|Middleware|JSP|Java|SQL|Adobe|Microsoft SQL Server,SocialMedia.com,Austin,TX,"30.267153,-97.7430608"
Java Developer,SQL|Middleware|Oracle|CMS|HTTP|JSP|Git|Research|Unix,Large Search Giant Llc.,Des Moines,IA,"41.6005448,-93.6091064"
C Developer,Python|Linux|Apache Hadoop|C++|Security|Apache HTTP Server|MongoDB|Scripting|Unix,Data Science Consultants,San Francisco,CA,"37.7749295,-122.4194155"
Web Developer,Ajax|Consulting|Recruitment|Disaster recovery|Microsoft SQL Server|SQL|Web development,Big Data Services,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,IBM Informix|Leadership|Amazon Web Services|Programming|AngularJS,Simon Hughes Llc,Des Moines,IA,"41.6005448,-93.6091064"
Java Developer,J2EE|PL/I|HTML|Project management|JavaScript|CSS|Microsoft Excel|Web design|Telecommunications,Simon Hughes Llc,New York,NY,"40.7127837,-74.0059413"
Frontend Developer,Agile|Consulting|HTML|CSS,SocialMedia.com,Austin,TX,"30.267153,-97.7430608"
Oracle ADF Developer,Laboratory management|J2EE|Agile|Research|JDBC|SDLC|Security QA|HTTP|Ajax,Big Tech Company,Chicago,IL,"41.8781136,-87.6297982"
Java Developer,Consulting|Git|Java|Configuration|XML|HTML|Project management|ANSI,Data Science Consultants,Chicago,IL,"41.8781136,-87.6297982"
Frontend Developer,SQL|Telecommunications|Agile|Java|XML|ANSI|CSS|QA,Simon Hughes Llc,San Francisco,CA,"37.7749295,-122.4194155"
Frontend Developer,PL/I|Agile|HTML|JavaScript|Scripting,IT Services and Networking Corp.,Des Moines,IA,"41.6005448,-93.6091064"
Application Developer,LDAP|SQL|Database|JavaScript|Database,IT Services and Networking Corp.,San Francisco,CA,"37.7749295,-122.4194155"
Teradata Developer,Data analysis|Security|Data warehouse|Teradata|Informatica|IBM DB2,Data Science Consultants,Chicago,IL,"41.8781136,-87.6297982"
PHP Developer,Sales|Ruby|PHP|Revision control|QA,Acme Inc,San Francisco,CA,"37.7749295,-122.4194155"
.Net Application Developer,SQL|Business requirements|Programming|Architecture|Security,Big Data Services,Austin,TX,"30.267153,-97.7430608"
Lead Developer,QA|PostgreSQL|Consulting|Ab Initio|PL/I|Apache Hadoop,Data Science Consultants,Des Moines,IA,"41.6005448,-93.6091064"
Python Developer,Security|CGI|Oracle,Big Data Services,San Jose,CA,"37.3382082,-121.8863286"
Oracle Developer,SQL|DBA|Linux administration|Oracle|Unix|Database|Middleware|Business requirements|QA,IT Services and Networking Corp.,Chicago,IL,"41.8781136,-87.6297982"
C# Developer,SQL|Agile|OOD,Acme Inc,New York,NY,"40.7127837,-74.0059413"
Android Developer,Android|iOS|J2EE|JavaScript|Lifecycle management,Large Search Giant Llc.,San Francisco,CA,"37.7749295,-122.4194155"
Web Developer,PHP|Consulting|SQL|MySQL|Research|CSS,Simon Hughes Llc,Austin,TX,"30.267153,-97.7430608"
Java Developer,Web applications|J2EE|Java|J2EE|J2EE|Java|Java|Java|Software engineering|J2EE,Data Science Consultants,San Jose,CA,"37.3382082,-121.8863286"
C++ Developer,Multithreading|Android|Security QA|Microsoft Windows,Roll the Dice Inc.,San Francisco,CA,"37.7749295,-122.4194155"
.Net Developer,Web API|Microsoft SQL Server|Web development|MVC|ASP.NET AJAX|.NET|Framework|.NET,IT Services and Networking Corp.,Des Moines,IA,"41.6005448,-93.6091064"
Oracle ADF Developer,Laboratory management|Agile|JDBC|XML|Oracle|Ajax|XSLT|XSL|Oracle Developer,Scientists and Quants Inc,Des Moines,IA,"41.6005448,-93.6091064"
C++ Developer,Real-time|RF|Embedded systems|RTOS,Data Science Consultants,New York,NY,"40.7127837,-74.0059413"
Business Intelligence Developer,Content management|Architecture|Java,Acme Inc,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,AngularJS|JavaScript|Java|Architecture,Large Search Giant Llc.,Austin,TX,"30.267153,-97.7430608"
Frontend Developer,HTML|UI|JavaScript|Ruby on Rails|Haml|Open source|Web development|JavaScript,Big Data Services,New York,NY,"40.7127837,-74.0059413"
C# Developer,OOD|Programming|SQL,Data Science Consultants,Chicago,IL,"41.8781136,-87.6297982"
Integration Developer,Microsoft Office|Oracle|Microsoft Windows|XML|IBM RPG|Flowchart|Linux administration|IBM Informix,Big Tech Company,Des Moines,IA,"41.6005448,-93.6091064"
.Net Developer,AngularJS|Microsoft SQL Server|Architecture|Sales|XSL|QA|C#|ASP,Python code ninjas,Des Moines,IA,"41.6005448,-93.6091064"
Web Developer,AngularJS|JavaScript|CSS,Simon Hughes Llc,San Francisco,CA,"37.7749295,-122.4194155"
Fullstack Developer,Web API|ASP.NET MVC|SQL|C#|Ajax|JavaScript|CSS|Webforms|ASP.NET|OOP,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
Frontend Developer,AngularJS|Backbone.js|Responsive design|Sass|Sass|Backbone.js,Large Search Giant Llc.,Chicago,IL,"41.8781136,-87.6297982"
Frontend Developer,Sass|AngularJS|LESS|AngularJS|Sass|Backbone.js,Python code ninjas,San Jose,CA,"37.3382082,-121.8863286"
SAS Developer,SAS|Data analysis|Simulation|Security,Simon Hughes Llc,Austin,TX,"30.267153,-97.7430608"
Fullstack Developer,Perl|PostgreSQL|Modeling|Ruby|JavaScript,Simon Hughes Llc,New York,NY,"40.7127837,-74.0059413"
Frontend Developer,jQuery|CSS|Web browsers|Agile|HTML|CRM,Data Science Consultants,Austin,TX,"30.267153,-97.7430608"
Business Objects Developer,Unix|Microsoft Windows|Database design|Networking|Performance testing|Supervision,Simon Hughes Llc,Des Moines,IA,"41.6005448,-93.6091064"
Hadoop Developer,SQL|Unix|PostgreSQL|Apache Hadoop|Apache HTTP Server|QA|Consulting,IT Services and Networking Corp.,Austin,TX,"30.267153,-97.7430608"
Java Developer,SQL|Java|JDBC|Agile|Risk management,Python code ninjas,Des Moines,IA,"41.6005448,-93.6091064"
Web Developer,jQuery|Video|Web development|UI|Python,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
Hadoop Developer,Data modeling|Linux administration|Apache Hadoop,Simon Hughes Llc,Des Moines,IA,"41.6005448,-93.6091064"
Java Developer,JavaScript|Telecommunications|J2EE|XML|Agile|Consulting,Big Data Services,San Francisco,CA,"37.7749295,-122.4194155"
.Net Developer,Architecture|API|Java|XML|CSS|Research|QA|JavaScript|ASP.NET|.NET,Large Search Giant Llc.,Des Moines,IA,"41.6005448,-93.6091064"
Java Developer,Lifecycle management|JavaScript|Telecommunications|J2EE|CSS|Consulting,SocialMedia.com,New York,NY,"40.7127837,-74.0059413"
Web Developer,jQuery|XML|SDLC|CSS|CMS|JSP|HTML,IT Services and Networking Corp.,Des Moines,IA,"41.6005448,-93.6091064"
C# Developer,Microsoft Visual Studio|ADO.NET|HTML|SVN|XML|ASP.NET|Web services,Acme Inc,San Jose,CA,"37.3382082,-121.8863286"
C# Developer,OOP|Automotive|MySQL|Microsoft SQL Server|Research|Business-to-business|CRM|Database design,IT Services and Networking Corp.,Chicago,IL,"41.8781136,-87.6297982"
Fullstack .Net Developer,JavaScript|Multithreading|C#|SQL|OOP|MongoDB|Algorithms|Web development,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
webMethods Developer,SOAP|QA|webMethods|QA|Architecture,Roll the Dice Inc.,Chicago,IL,"41.8781136,-87.6297982"
Integration Developer,TIBCO|Hardware|XML|Microsoft Excel|Customer service,Simon Hughes Llc,New York,NY,"40.7127837,-74.0059413"
Frontend Web Developer,XML|Architecture|HTML,Roll the Dice Inc.,San Francisco,CA,"37.7749295,-122.4194155"
Application Developer,ASP.NET|Security|Agile|.NET|Architecture,Scientists and Quants Inc,New York,NY,"40.7127837,-74.0059413"
JavaScript Developer,Agile|HTTP|Consulting,IT Services and Networking Corp.,New York,NY,"40.7127837,-74.0059413"
Java Developer,UML|Scrum|Agile|Git|NoSQL,Big Data Services,San Francisco,CA,"37.7749295,-122.4194155"
Integration Developer,Linux administration|SQL|Oracle|XML|MUMPS|Java|Flowchart|Programming,Python code ninjas,San Jose,CA,"37.3382082,-121.8863286"
AWS Engineer,MySQL|Programming|Database design|MySQL|Unix,Acme Inc,New York,NY,"40.7127837,-74.0059413"
Frontend Developer,Scripting|CGI|Agile|AngularJS|jQuery,Big Data Services,San Francisco,CA,"37.7749295,-122.4194155"
Integration Developer,TIBCO|QA|Specification|IBM,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
Frontend Developer,CSS|Encryption|Security,Big Tech Company,Des Moines,IA,"41.6005448,-93.6091064"
Fullstack Developer,Oracle|Agile|Programming|NoSQL|UI|Ruby|Apache Solr|HTML|QA|Retail,Big Data Services,San Jose,CA,"37.3382082,-121.8863286"
Java Developer,Consulting|MySQL|Unix|jQuery|Java|Linux,Data Science Consultants,Chicago,IL,"41.8781136,-87.6297982"
Lead Developer,Software engineering|Architecture|Programming,Python code ninjas,Austin,TX,"30.267153,-97.7430608"
Interface Developer,Java|Java Caps|Epic|Spring,SocialMedia.com,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,Oracle|Maximo|RDBMS,Scientists and Quants Inc,Des Moines,IA,"41.6005448,-93.6091064"
Java Developer,Database|Oracle|Perl,Acme Inc,Austin,TX,"30.267153,-97.7430608"
Ruby on Rails Developer,SQL|Ruby|Linux administration|QA|Oracle,Python code ninjas,Des Moines,IA,"41.6005448,-93.6091064"
Lead Developer,Java|Software engineering|Algorithms|SQL|Linux|Security|Agile|Multithreading,Large Search Giant Llc.,San Francisco,CA,"37.7749295,-122.4194155"
SharePoint Developer,ASP|XSLT|Modeling|HTML|Business requirements|Microsoft Exchange|Content management|Multithreading|Physics|ASP.NET|ADO|.NET,Big Data Services,San Jose,CA,"37.3382082,-121.8863286"
.Net Developer,.NET|ASP.NET|AngularJS|Software engineering|Microsoft IIS|Microsoft SQL Server|C#|Sales,Large Search Giant Llc.,San Jose,CA,"37.3382082,-121.8863286"
Hadoop Developer,Apache Hadoop|Informatica administration|Oracle|Security|PL/I|Shell scripting,SocialMedia.com,Austin,TX,"30.267153,-97.7430608"
.Net Developer,JIRA|Agile|Technical writing|Microsoft SSIS|microsoft,Scientists and Quants Inc,San Jose,CA,"37.3382082,-121.8863286"
Java Developer,SOAP|QA|Agile|Oracle,Scientists and Quants Inc,San Jose,CA,"37.3382082,-121.8863286"
Lead Developer,QA|QA|Software engineering|SDLC,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
Application Developer,Programming|JCL|CGI,Roll the Dice Inc.,Chicago,IL,"41.8781136,-87.6297982"
C# Developer,CRM|Automotive|Research|Database design|Microsoft SQL Server|Retail|Agile|Scrum,IT Services and Networking Corp.,San Jose,CA,"37.3382082,-121.8863286"
Integration Developer,XML|Programming|XSLT|QA|Architecture|Middleware|Linux|IBM AIX|IBM System i,Scientists and Quants Inc,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,JSP|QA|SOAP|HTML|Consulting|Ajax|Lifecycle management|J2EE|Telecommunications,Big Tech Company,San Francisco,CA,"37.7749295,-122.4194155"
Lead Developer,Programming|Agile|Java|Scrum|Embedded systems|Development management|iOS,Big Data Services,Austin,TX,"30.267153,-97.7430608"
Business Intelligence Developer,SDLC|Programming|Verification and validation,SocialMedia.com,Des Moines,IA,"41.6005448,-93.6091064"
Business Intelligence Developer,Transact-SQL|Architecture|SQL|OLTP|Data mining|Database,Scientists and Quants Inc,San Jose,CA,"37.3382082,-121.8863286"
.Net Developer,Data analysis|SQL|Data modeling|Visual Basic .NET|ASP.NET,SocialMedia.com,Des Moines,IA,"41.6005448,-93.6091064"
JavaScript Developer,UI|MVC|Ajax|Web applications|UI|CSS|Mobile applications|CSS,Roll the Dice Inc.,San Jose,CA,"37.3382082,-121.8863286"
Integration Developer,IBM RPG|Linux administration|Java|XML|Oracle|Property and casualty insurance|Microsoft Office|IBM Informix,IT Services and Networking Corp.,Austin,TX,"30.267153,-97.7430608"
.Net Developer,Architecture|Java|Microsoft SQL Server|.NET|Database,Big Tech Company,San Jose,CA,"37.3382082,-121.8863286"
Big Data Developer,Architecture|NoSQL|MySQL|Python|Data architecture|SQL|Data warehouse|Oracle,Big Tech Company,Austin,TX,"30.267153,-97.7430608"
Application Developer,Laptop|Agile|C#|SOAP|HTTP|Algorithms|Microsoft Windows,Simon Hughes Llc,Austin,TX,"30.267153,-97.7430608"
Frontend Web Developer,Supervision|Microsoft Excel|AngularJS|API|Microsoft SQL Server,Large Search Giant Llc.,New York,NY,"40.7127837,-74.0059413"
Lead Web Developer,.NET|API|CSS|HTML|JSP|XML|PHP,Data Science Consultants,Chicago,IL,"41.8781136,-87.6297982"
Salesforce Developer,API|JavaScript|XML|SOAP|HTML|Business requirements,IT Services and Networking Corp.,Chicago,IL,"41.8781136,-87.6297982"
Tibco Developer,Modeling|TIBCO|Business requirements,Big Data Services,Austin,TX,"30.267153,-97.7430608"
Application Developer,Programming|Java|HTML|AngularJS|Architecture|ASP.NET|Oracle|Git|ASP|jQuery|CSS|Visual Basic|Project management|VBA,Large Search Giant Llc.,Chicago,IL,"41.8781136,-87.6297982"
.Net Developer,SQL|ASP.NET|XSL|ASP|Programming|QA|.NET|Ajax,Data Science Consultants,Chicago,IL,"41.8781136,-87.6297982"
